translation_x,translation_y
-0.0135997,-0.0466558
0.00135748,-0.0373269
-0.027687,-0.0514596
-0.032441,-0.0489629
-0.0550406,-0.0327227
-0.0815534,-0.0190563
-0.10978,-0.00823193
-0.151667,0.00373497
-0.252209,0.00539508
-0.376459,0.0162066
-0.483543,0.0171008
-0.56803,0.0102803
-0.622371,0.0198569
-0.641999,0.0240503
-0.605486,0.0418119
-0.55391,0.0332588
-0.497172,0.022467
-0.412235,0.0212215
-0.328661,0.0260614
-0.259144,0.0315962
-0.212548,0.0274448
-0.169907,0.00834226
-0.120278,-0.0218648
-0.0729848,-0.0363429
-0.0381115,-0.0309808
-0.00595197,-0.00976549
0.0130282,0.0114263
0.0275747,-0.00170739
0.0280317,-0.0169351
-0.0253827,-0.0214763
-0.0980602,-0.0206891
-0.154406,-0.0134231
-0.176728,-0.00340593
-0.207282,0.00500056
-0.217476,0.00592201
-0.233598,-0.000340482
-0.278223,-0.0174397
-0.316416,-0.0260574
-0.308444,-0.0274071
-0.270075,-0.0238315
-0.205044,-0.0175432
-0.121076,-0.0119457
-0.0561512,-0.00530964
-0.0286616,-0.00255227
-0.0242533,0.00136698
-0.0181552,0.00328825
0.00462204,0.00343704
0.0188683,0.00506153
0.0226827,0.0108363
0.0154346,0.0128998
-0.000210358,0.0102892
-0.0326392,-0.0115513
-0.0990217,-0.00707762
-0.186365,0.00597646
-0.25087,0.0045471
-0.290982,-0.00563182
-0.304468,-0.0155485
-0.301145,-0.0155931
-0.301084,-0.00629889
-0.296726,-0.000837738
-0.28712,-0.000396337
-0.243291,0.000485744
-0.175143,0.00782177
-0.0987205,0.0145546
-0.0702562,0.016014
-0.0813587,0.0172328
-0.094301,0.0166861
-0.119478,0.0151166
-0.169182,0.0128928
-0.205316,0.0118534
-0.210523,0.0127171
-0.216333,0.0130682
-0.230817,0.00963001
-0.257297,0.00810685
-0.300638,0.00505479
-0.357507,0.00197772
-0.368172,-0.00496514
-0.324305,-0.00321859
-0.255541,-0.000284132
-0.181648,0.00662388
-0.117937,0.0110097
-0.105449,0.0129516
-0.128275,0.011626
-0.150694,0.0129204
-0.150816,0.014711
-0.149137,0.0129735
-0.106173,0.0089804
-0.0690461,0.00867428
-0.0406169,0.0127928
-0.0330635,0.0207906
-0.0311383,0.0243178
-0.0315186,0.0183776
-0.0511389,0.0148152
-0.0608087,0.0129648
-0.0864133,0.0121049
-0.170639,0.00641098
-0.255729,-0.00209269
-0.313082,-0.00670555
-0.324342,-0.00518306
-0.310319,-0.00712269
-0.273144,-0.00856662
-0.236935,-0.00641199
-0.169119,0.00518059
-0.0771447,0.0156981
0.00707626,0.0199848
0.0562842,0.0188255
0.0887978,0.0233463
0.11411,0.0227632
0.144292,0.0269644
0.127444,0.0241211
0.0938437,0.0183093
0.0194586,0.0322481
-0.037426,0.0421534
-0.127828,0.0492337
-0.205672,0.0556581
-0.249587,0.0735619
-0.243393,0.0916053
-0.262066,0.107975
-0.283775,0.12625
-0.304969,0.139863
-0.296372,0.150675
-0.284583,0.195546
-0.282455,0.241248
-0.255253,0.2698
-0.243834,0.294091
-0.207382,0.317963
-0.147253,0.375466
-0.0930681,0.408439
-0.0586353,0.443882
-0.0132146,0.461572
0.0173673,0.428831
0.0423041,0.432382
0.0480519,0.46748
0.0354032,0.532563
0.0598185,0.547984
0.0472639,0.59617
0.0469722,0.602616
0.0374557,0.58092
0.0183401,0.566358
0.0266681,0.540605
0.0293352,0.509022
0.0756967,0.417095
0.129243,0.35944
0.17312,0.337737
0.19226,0.35564
0.155879,0.392633
0.101465,0.401343
0.0538034,0.443225
0.0364819,0.471252
0.0563139,0.46882
0.0625236,0.438231
0.0449236,0.397284
0.0212924,0.325297
-0.0157317,0.279565
-0.0764829,0.227357
-0.119984,0.157313
-0.232792,0.147573
-0.333997,0.186803
-0.405829,0.250696
-0.44207,0.285352
-0.449492,0.269757
-0.455643,0.224794
-0.478217,0.151429
-0.51333,0.0778715
-0.537578,0.0526557
-0.505615,0.0821668
-0.458307,0.118476
-0.385602,0.142481
-0.272972,0.173254
-0.173281,0.172923
-0.0624604,0.128631
0.0153785,0.119675
0.136246,0.129957
0.190482,0.15882
0.186368,0.190868
0.153582,0.21208
0.110934,0.204461
0.0657308,0.186948
-0.0234652,0.151789
-0.0911656,0.120255
-0.241229,0.0735349
-0.396612,0.0715925
-0.496759,0.0538145
-0.593799,0.0364742
-0.642174,0.00348441
-0.659556,-0.0110679
